0,0,0,0,YYYYY,MM,DD,hh,mm
362,21,12,11,2020,05,10,23,15
362,21,12,11,2020,05,10,23,39
362,21,12,11,2020,05,10,23,48
362,21,12,11,2020,05,10,23,52
362,23,14,11,2020,05,10,23,56
362,24,14,12,2020,05,11,00,02
362,30,17,15,2020,05,11,00,06
363,34,19,17,2020,05,11,00,46
363,34,19,17,2020,05,11,03,12
364,34,19,17,2020,05,12,22,31
365,34,19,17,2020,05,12,23,03
366,34,19,17,2020,05,12,23,04
366,34,19,17,2020,05,12,23,04
366,34,19,17,2020,05,12,23,18
366,34,19,17,2020,05,13,00,05
366,34,19,17,2020,05,13,00,11
366,34,19,17,2020,05,13,00,15
366,34,19,17,2020,05,13,00,22
366,37,21,18,2020,05,13,00,27
366,37,21,18,2020,05,13,00,35
366,37,21,18,2020,05,13,00,43
366,37,21,18,2020,05,13,00,46
366,37,21,18,2020,05,13,00,52
366,37,21,18,2020,05,13,01,03
366,37,21,18,2020,05,13,01,04
366,37,21,18,2020,05,13,01,09
366,37,21,18,2020,05,13,01,11
366,37,21,18,2020,05,13,01,32
366,37,21,18,2020,05,13,01,36
366,37,21,18,2020,05,13,01,38
367,37,21,18,2020,05,13,02,23
368,37,21,18,2020,05,13,02,26
369,37,21,18,2020,05,13,02,32
369,37,21,18,2020,05,13,02,35
369,0,0,0,2020,05,13,02,50
369,1,0,1,2020,05,13,11,23
369,1,0,1,2020,05,13,11,30
369,1,0,1,2020,05,13,11,39
369,1,0,1,2020,05,13,15,16
369,1,0,1,2020,05,13,15,18
369,1,0,1,2020,05,13,15,20
370,1,0,1,2020,05,14,01,31
371,1,0,1,2020,05,14,02,20
371,1,0,1,2020,05,14,10,38
371,1,0,1,2020,05,14,22,49
372,1,0,1,2020,05,15,14,04
373,1,0,1,2020,05,15,14,07
374,1,0,1,2020,05,15,14,10
375,1,0,1,2020,05,15,14,14
376,1,0,1,2020,05,15,14,15
377,1,0,1,2020,05,15,14,17
378,1,0,1,2020,05,15,14,18
379,1,0,1,2020,05,15,14,21
380,1,0,1,2020,05,15,14,26
381,1,0,1,2020,05,15,14,30
382,1,0,1,2020,05,15,14,35
383,1,0,1,2020,05,15,15,35
